UNIT FILE                                    STATE           PRESET
mnt-researchdrive-ceom.automount             enabled         disabled
proc-sys-fs-binfmt_misc.automount            static          -
-.mount                                      generated       -
boot.mount                                   generated       -
dev-hugepages.mount                          static          -
dev-mqueue.mount                             static          -
mnt-researchdrive-ceom.mount                 disabled        disabled
proc-sys-fs-binfmt_misc.mount                disabled        disabled
sys-fs-fuse-connections.mount                static          -
sys-kernel-config.mount                      static          -
sys-kernel-debug.mount                       static          -
sys-kernel-tracing.mount                     static          -
tmp.mount                                    static          -
var-lib-machines.mount                       static          -
gpm.path                                     static          -
systemd-ask-password-console.path            static          -
systemd-ask-password-wall.path               static          -
session-10.scope                             transient       -
session-17.scope                             transient       -
session-20.scope                             transient       -
accounts-daemon.service                      disabled        disabled
alsa-card-wait@.service                      static          -
alsa-restore.service                         static          -
alsa-state.service                           static          -
archlinux-keyring-wkd-sync.service           static          -
arptables.service                            disabled        disabled
audit-rules.service                          disabled        disabled
auditd.service                               disabled        disabled
autovt@.service                              alias           -
autovt@tty3.service                          enabled         disabled
avahi-daemon.service                         disabled        disabled
avahi-dnsconfd.service                       disabled        disabled
bluetooth.service                            disabled        disabled
bolt.service                                 static          -
breakpoint-pre-basic.service                 static          -
breakpoint-pre-mount.service                 static          -
breakpoint-pre-switch-root.service           static          -
breakpoint-pre-udev.service                  static          -
canberra-system-bootup.service               disabled        disabled
canberra-system-shutdown-reboot.service      disabled        disabled
canberra-system-shutdown.service             disabled        disabled
capsule@.service                             static          -
chvt-tty3.service                            enabled         disabled
colord.service                               static          -
console-getty.service                        disabled        disabled
container-getty@.service                     static          -
containerd.service                           enabled         disabled
cpu-performance-mode.service                 enabled         disabled
dbus-broker.service                          disabled        disabled
dbus-org.freedesktop.hostname1.service       alias           -
dbus-org.freedesktop.import1.service         alias           -
dbus-org.freedesktop.locale1.service         alias           -
dbus-org.freedesktop.login1.service          alias           -
dbus-org.freedesktop.machine1.service        alias           -
dbus-org.freedesktop.nm-dispatcher.service   alias           -
dbus-org.freedesktop.portable1.service       alias           -
dbus-org.freedesktop.sysupdate1.service      alias           -
dbus-org.freedesktop.timedate1.service       alias           -
dbus.service                                 alias           -
debug-shell.service                          disabled        disabled
dirmngr@.service                             static          -
dm-event.service                             static          -
dnsmasq.service                              disabled        disabled
docker.service                               enabled         disabled
e2scrub@.service                             static          -
e2scrub_all.service                          static          -
e2scrub_fail@.service                        static          -
e2scrub_reap.service                         disabled        disabled
ebtables.service                             disabled        disabled
emergency.service                            static          -
fancontrol.service                           disabled        disabled
fstrim.service                               static          -
geoclue.service                              static          -
getty@.service                               enabled         enabled
git-daemon@.service                          static          -
gpg-agent@.service                           static          -
gpm.service                                  disabled        disabled
gpsd.service                                 disabled        disabled
gpsdctl@.service                             static          -
healthd.service                              disabled        disabled
iio-sensor-proxy.service                     static          -
initrd-cleanup.service                       static          -
initrd-parse-etc.service                     static          -
initrd-switch-root.service                   static          -
initrd-udevadm-cleanup-db.service            static          -
ip6tables.service                            disabled        disabled
iptables.service                             disabled        disabled
keyboxd@.service                             static          -
kmod-static-nodes.service                    static          -
krb5-kadmind.service                         disabled        disabled
krb5-kdc.service                             disabled        disabled
krb5-kpropd.service                          disabled        disabled
krb5-kpropd@.service                         static          -
lastlog2-import.service                      disabled        disabled
ldconfig.service                             static          -
lm_sensors.service                           disabled        disabled
lxc-auto.service                             disabled        disabled
lxc-monitord.service                         disabled        disabled
lxc-net.service                              disabled        disabled
lxc.service                                  disabled        disabled
lxc@.service                                 disabled        disabled
mdadm-grow-continue@.service                 static          -
mdadm-last-resort@.service                   static          -
mdcheck_continue.service                     static          -
mdcheck_start.service                        static          -
mdmon@.service                               static          -
mdmonitor-oneshot.service                    static          -
mdmonitor.service                            static          -
mkinitcpio-generate-shutdown-ramfs.service   static          -
modprobe@.service                            static          -
NetworkManager-config-initrd.service         disabled        disabled
NetworkManager-dispatcher.service            enabled         disabled
NetworkManager-initrd.service                disabled        disabled
NetworkManager-wait-online-initrd.service    disabled        disabled
NetworkManager-wait-online.service           enabled         disabled
NetworkManager.service                       enabled         disabled
nftables.service                             disabled        disabled
nm-priv-helper.service                       static          -
nvidia-hibernate.service                     disabled        disabled
nvidia-persistenced.service                  disabled        disabled
nvidia-powerd.service                        disabled        disabled
nvidia-resume.service                        disabled        disabled
nvidia-suspend-then-hibernate.service        disabled        disabled
nvidia-suspend.service                       disabled        disabled
pam_namespace.service                        static          -
pcscd.service                                indirect        disabled
polkit-agent-helper@.service                 static          -
polkit.service                               static          -
power-profiles-daemon.service                disabled        disabled
quotaon-root.service                         static          -
quotaon@.service                             static          -
rescue.service                               static          -
rfkill-block@.service                        disabled        disabled
rfkill-unblock@.service                      disabled        disabled
rsyncd.service                               disabled        disabled
rsyncd@.service                              static          -
rtkit-daemon.service                         disabled        disabled
sddm.service                                 disabled        disabled
seatd.service                                disabled        disabled
sensord.service                              disabled        disabled
serial-getty@.service                        disabled        disabled
shadow.service                               static          -
sndiod.service                               disabled        disabled
sshd-unix-local@.service                     alias           -
sshd.service                                 disabled        disabled
sshd@.service                                indirect        disabled
sshdgenkeys.service                          disabled        disabled
sudo_logsrvd.service                         disabled        disabled
system-update-cleanup.service                static          -
systemd-ask-password-console.service         static          -
systemd-ask-password-wall.service            static          -
systemd-ask-password@.service                static          -
systemd-backlight@.service                   static          -
systemd-battery-check.service                static          -
systemd-binfmt.service                       static          -
systemd-bless-boot.service                   static          -
systemd-boot-check-no-failures.service       disabled        disabled
systemd-boot-clear-sysfail.service           disabled        enabled
systemd-boot-random-seed.service             static          -
systemd-boot-update.service                  disabled        enabled
systemd-bootctl@.service                     static          -
systemd-bsod.service                         static          -
systemd-confext-initrd.service               static          -
systemd-confext.service                      disabled        enabled
systemd-coredump@.service                    static          -
